04-Feb-26 16:52:47 - Created loss log file ./logs/loss_log_20260204165247_.npy.npz
04-Feb-26 16:52:47 - Number of parquet files: 4741
04-Feb-26 16:52:47 - Train files: 3792
04-Feb-26 16:52:47 - Validation files: 949
04-Feb-26 16:52:47 - Loading training data...
04-Feb-26 16:52:47 - PyTorch version 2.5.1 available.
04-Feb-26 16:52:47 - TensorFlow version 2.18.0 available.
04-Feb-26 16:52:53 - Training samples: 21424800
04-Feb-26 16:52:53 - Loading validation data...
04-Feb-26 16:52:54 - Validation samples: 5361850
04-Feb-26 16:52:54 - Total training steps per epoch (estimated): 334762
04-Feb-26 16:52:55 - Running without torch.compile (more stable for training).
04-Feb-26 16:52:55 - Training model...
04-Feb-26 16:53:00 - Features shape: torch.Size([64, 4])
04-Feb-26 16:53:00 - Elevation shape: torch.Size([64, 750])
04-Feb-26 16:53:00 - Targets shape: torch.Size([64])
04-Feb-26 16:53:00 - Mask shape: torch.Size([64, 750])
04-Feb-26 16:53:00 - Preds shape: torch.Size([64])
04-Feb-26 16:53:46 - [Epoch=1 | Step=100/334762] loss=216.4362
04-Feb-26 16:54:43 - [Epoch=1 | Step=200/334762] loss=214.3948
04-Feb-26 16:55:41 - [Epoch=1 | Step=300/334762] loss=216.2299
04-Feb-26 16:56:40 - [Epoch=1 | Step=400/334762] loss=215.7494
04-Feb-26 16:57:38 - [Epoch=1 | Step=500/334762] loss=212.8723
04-Feb-26 16:58:36 - [Epoch=1 | Step=600/334762] loss=194.0421
04-Feb-26 16:59:35 - [Epoch=1 | Step=700/334762] loss=214.8168
04-Feb-26 17:00:33 - [Epoch=1 | Step=800/334762] loss=194.2778
04-Feb-26 17:01:32 - [Epoch=1 | Step=900/334762] loss=185.1829
04-Feb-26 17:02:32 - [Epoch=1 | Step=1000/334762] loss=198.3635
04-Feb-26 17:03:32 - [Epoch=1 | Step=1100/334762] loss=194.5804
04-Feb-26 17:04:32 - [Epoch=1 | Step=1200/334762] loss=183.9173
04-Feb-26 17:05:36 - [Epoch=1 | Step=1300/334762] loss=178.9351
04-Feb-26 17:06:45 - [Epoch=1 | Step=1400/334762] loss=179.2435
04-Feb-26 17:07:53 - [Epoch=1 | Step=1500/334762] loss=171.4548
04-Feb-26 17:09:03 - [Epoch=1 | Step=1600/334762] loss=169.0610
04-Feb-26 17:10:09 - [Epoch=1 | Step=1700/334762] loss=159.3961
04-Feb-26 17:11:17 - [Epoch=1 | Step=1800/334762] loss=185.7065
04-Feb-26 17:12:26 - [Epoch=1 | Step=1900/334762] loss=165.9810
04-Feb-26 17:13:39 - [Epoch=1 | Step=2000/334762] loss=172.3691
04-Feb-26 17:14:47 - [Epoch=1 | Step=2100/334762] loss=167.9926
04-Feb-26 17:15:54 - [Epoch=1 | Step=2200/334762] loss=163.0798
04-Feb-26 17:16:59 - [Epoch=1 | Step=2300/334762] loss=173.4228
04-Feb-26 17:18:06 - [Epoch=1 | Step=2400/334762] loss=166.1853
04-Feb-26 17:19:12 - [Epoch=1 | Step=2500/334762] loss=165.8084
04-Feb-26 17:20:18 - [Epoch=1 | Step=2600/334762] loss=162.7823
04-Feb-26 17:21:27 - [Epoch=1 | Step=2700/334762] loss=160.4522
04-Feb-26 17:22:34 - [Epoch=1 | Step=2800/334762] loss=157.9200
04-Feb-26 17:23:43 - [Epoch=1 | Step=2900/334762] loss=147.9027
04-Feb-26 17:24:49 - [Epoch=1 | Step=3000/334762] loss=144.4489
04-Feb-26 17:25:55 - [Epoch=1 | Step=3100/334762] loss=144.4940
04-Feb-26 17:26:59 - [Epoch=1 | Step=3200/334762] loss=137.3535
04-Feb-26 17:28:06 - [Epoch=1 | Step=3300/334762] loss=134.0941
04-Feb-26 17:29:07 - [Epoch=1 | Step=3400/334762] loss=134.6724
04-Feb-26 17:30:10 - [Epoch=1 | Step=3500/334762] loss=134.0087
04-Feb-26 17:31:17 - [Epoch=1 | Step=3600/334762] loss=128.2816
04-Feb-26 17:32:24 - [Epoch=1 | Step=3700/334762] loss=118.4843
04-Feb-26 17:33:29 - [Epoch=1 | Step=3800/334762] loss=117.3167
04-Feb-26 17:34:37 - [Epoch=1 | Step=3900/334762] loss=115.7205
04-Feb-26 17:35:43 - [Epoch=1 | Step=4000/334762] loss=116.2390
04-Feb-26 17:36:52 - [Epoch=1 | Step=4100/334762] loss=110.6956
04-Feb-26 17:38:00 - [Epoch=1 | Step=4200/334762] loss=104.7810
04-Feb-26 17:39:08 - [Epoch=1 | Step=4300/334762] loss=104.1565
04-Feb-26 17:40:18 - [Epoch=1 | Step=4400/334762] loss=121.2152
04-Feb-26 17:41:28 - [Epoch=1 | Step=4500/334762] loss=114.0944
04-Feb-26 17:42:34 - [Epoch=1 | Step=4600/334762] loss=106.9002
04-Feb-26 17:43:40 - [Epoch=1 | Step=4700/334762] loss=102.8212
04-Feb-26 17:44:44 - [Epoch=1 | Step=4800/334762] loss=93.7573
04-Feb-26 17:45:49 - [Epoch=1 | Step=4900/334762] loss=105.3372
04-Feb-26 17:46:55 - [Epoch=1 | Step=5000/334762] loss=99.0281
04-Feb-26 17:47:58 - [Epoch=1 | Step=5100/334762] loss=86.4414
04-Feb-26 17:49:01 - [Epoch=1 | Step=5200/334762] loss=80.7518
04-Feb-26 17:50:04 - [Epoch=1 | Step=5300/334762] loss=86.6961
04-Feb-26 17:51:09 - [Epoch=1 | Step=5400/334762] loss=72.0949
04-Feb-26 17:52:15 - [Epoch=1 | Step=5500/334762] loss=80.6435
04-Feb-26 17:53:23 - [Epoch=1 | Step=5600/334762] loss=74.0798
04-Feb-26 17:54:29 - [Epoch=1 | Step=5700/334762] loss=65.3628
04-Feb-26 17:55:35 - [Epoch=1 | Step=5800/334762] loss=68.2473
04-Feb-26 17:56:40 - [Epoch=1 | Step=5900/334762] loss=59.7336
04-Feb-26 17:57:42 - [Epoch=1 | Step=6000/334762] loss=58.9929
04-Feb-26 17:58:41 - [Epoch=1 | Step=6100/334762] loss=55.9104
04-Feb-26 17:59:40 - [Epoch=1 | Step=6200/334762] loss=51.7730
04-Feb-26 18:00:39 - [Epoch=1 | Step=6300/334762] loss=51.3357
04-Feb-26 18:01:43 - [Epoch=1 | Step=6400/334762] loss=57.3537
04-Feb-26 18:02:47 - [Epoch=1 | Step=6500/334762] loss=42.7410
04-Feb-26 18:03:49 - [Epoch=1 | Step=6600/334762] loss=36.6798
04-Feb-26 18:04:49 - [Epoch=1 | Step=6700/334762] loss=37.5275
04-Feb-26 18:05:48 - [Epoch=1 | Step=6800/334762] loss=29.8895
04-Feb-26 18:06:48 - [Epoch=1 | Step=6900/334762] loss=40.6045
04-Feb-26 18:07:48 - [Epoch=1 | Step=7000/334762] loss=41.8307
04-Feb-26 18:08:47 - [Epoch=1 | Step=7100/334762] loss=34.4697
04-Feb-26 18:09:45 - [Epoch=1 | Step=7200/334762] loss=35.5528
04-Feb-26 18:10:43 - [Epoch=1 | Step=7300/334762] loss=30.4345
04-Feb-26 18:11:41 - [Epoch=1 | Step=7400/334762] loss=31.4796
04-Feb-26 18:12:38 - [Epoch=1 | Step=7500/334762] loss=23.0965
04-Feb-26 18:13:35 - [Epoch=1 | Step=7600/334762] loss=22.6757
04-Feb-26 18:14:31 - [Epoch=1 | Step=7700/334762] loss=21.7284
04-Feb-26 18:15:27 - [Epoch=1 | Step=7800/334762] loss=23.5395
04-Feb-26 18:16:21 - [Epoch=1 | Step=7900/334762] loss=14.5759
04-Feb-26 18:17:15 - [Epoch=1 | Step=8000/334762] loss=12.7813
04-Feb-26 18:18:09 - [Epoch=1 | Step=8100/334762] loss=12.5483
04-Feb-26 18:19:02 - [Epoch=1 | Step=8200/334762] loss=12.0791
04-Feb-26 18:19:55 - [Epoch=1 | Step=8300/334762] loss=13.1682
04-Feb-26 18:20:47 - [Epoch=1 | Step=8400/334762] loss=12.4886
04-Feb-26 18:21:39 - [Epoch=1 | Step=8500/334762] loss=6.9283
04-Feb-26 18:22:31 - [Epoch=1 | Step=8600/334762] loss=8.5978
04-Feb-26 18:23:23 - [Epoch=1 | Step=8700/334762] loss=11.4960
04-Feb-26 18:24:16 - [Epoch=1 | Step=8800/334762] loss=17.1595
04-Feb-26 18:25:08 - [Epoch=1 | Step=8900/334762] loss=19.3861
04-Feb-26 18:26:00 - [Epoch=1 | Step=9000/334762] loss=17.0166
04-Feb-26 18:26:52 - [Epoch=1 | Step=9100/334762] loss=27.3816
04-Feb-26 18:27:43 - [Epoch=1 | Step=9200/334762] loss=23.6702
04-Feb-26 18:28:35 - [Epoch=1 | Step=9300/334762] loss=29.2532
04-Feb-26 18:29:27 - [Epoch=1 | Step=9400/334762] loss=29.4020
04-Feb-26 18:30:20 - [Epoch=1 | Step=9500/334762] loss=28.7949
04-Feb-26 18:31:13 - [Epoch=1 | Step=9600/334762] loss=25.1587
04-Feb-26 18:32:06 - [Epoch=1 | Step=9700/334762] loss=29.7463
04-Feb-26 18:32:59 - [Epoch=1 | Step=9800/334762] loss=26.4046
04-Feb-26 18:33:51 - [Epoch=1 | Step=9900/334762] loss=29.3935
04-Feb-26 18:34:44 - [Epoch=1 | Step=10000/334762] loss=30.3790
04-Feb-26 18:35:36 - [Epoch=1 | Step=10100/334762] loss=24.7335
04-Feb-26 18:36:29 - [Epoch=1 | Step=10200/334762] loss=26.9708
04-Feb-26 18:37:21 - [Epoch=1 | Step=10300/334762] loss=20.5389
04-Feb-26 18:38:13 - [Epoch=1 | Step=10400/334762] loss=22.2644
04-Feb-26 18:39:05 - [Epoch=1 | Step=10500/334762] loss=12.8381
04-Feb-26 18:39:58 - [Epoch=1 | Step=10600/334762] loss=20.1807
04-Feb-26 18:40:50 - [Epoch=1 | Step=10700/334762] loss=13.8457
04-Feb-26 18:41:42 - [Epoch=1 | Step=10800/334762] loss=19.2382
04-Feb-26 18:42:35 - [Epoch=1 | Step=10900/334762] loss=14.8056
04-Feb-26 18:43:27 - [Epoch=1 | Step=11000/334762] loss=25.7866
04-Feb-26 18:44:19 - [Epoch=1 | Step=11100/334762] loss=26.6316
04-Feb-26 18:45:11 - [Epoch=1 | Step=11200/334762] loss=25.3139
04-Feb-26 18:46:03 - [Epoch=1 | Step=11300/334762] loss=22.4901
04-Feb-26 18:46:55 - [Epoch=1 | Step=11400/334762] loss=22.3218
04-Feb-26 18:47:48 - [Epoch=1 | Step=11500/334762] loss=19.2583
04-Feb-26 18:48:41 - [Epoch=1 | Step=11600/334762] loss=18.1359
04-Feb-26 18:49:33 - [Epoch=1 | Step=11700/334762] loss=17.6233
04-Feb-26 18:50:25 - [Epoch=1 | Step=11800/334762] loss=20.6511
04-Feb-26 18:51:18 - [Epoch=1 | Step=11900/334762] loss=19.2958
04-Feb-26 18:52:09 - [Epoch=1 | Step=12000/334762] loss=14.3151
04-Feb-26 18:53:02 - [Epoch=1 | Step=12100/334762] loss=18.7507
04-Feb-26 18:53:54 - [Epoch=1 | Step=12200/334762] loss=17.7199
04-Feb-26 18:54:46 - [Epoch=1 | Step=12300/334762] loss=16.6428
04-Feb-26 18:55:38 - [Epoch=1 | Step=12400/334762] loss=18.0486
04-Feb-26 18:56:30 - [Epoch=1 | Step=12500/334762] loss=18.3511
04-Feb-26 18:57:21 - [Epoch=1 | Step=12600/334762] loss=19.4350
04-Feb-26 18:58:13 - [Epoch=1 | Step=12700/334762] loss=18.7681
04-Feb-26 18:59:04 - [Epoch=1 | Step=12800/334762] loss=17.1844
04-Feb-26 18:59:56 - [Epoch=1 | Step=12900/334762] loss=13.4834
04-Feb-26 19:00:47 - [Epoch=1 | Step=13000/334762] loss=13.6986
04-Feb-26 19:01:40 - [Epoch=1 | Step=13100/334762] loss=14.6493
04-Feb-26 19:02:32 - [Epoch=1 | Step=13200/334762] loss=15.6742
04-Feb-26 19:03:25 - [Epoch=1 | Step=13300/334762] loss=12.2082
04-Feb-26 19:04:17 - [Epoch=1 | Step=13400/334762] loss=13.2774
04-Feb-26 19:05:11 - [Epoch=1 | Step=13500/334762] loss=8.5102
04-Feb-26 19:06:02 - [Epoch=1 | Step=13600/334762] loss=10.5084
04-Feb-26 19:06:54 - [Epoch=1 | Step=13700/334762] loss=9.9713
04-Feb-26 19:07:47 - [Epoch=1 | Step=13800/334762] loss=8.3870
04-Feb-26 19:08:39 - [Epoch=1 | Step=13900/334762] loss=6.5166
04-Feb-26 19:09:30 - [Epoch=1 | Step=14000/334762] loss=6.7655
04-Feb-26 19:10:23 - [Epoch=1 | Step=14100/334762] loss=10.1002
04-Feb-26 19:11:14 - [Epoch=1 | Step=14200/334762] loss=7.7576
04-Feb-26 19:12:06 - [Epoch=1 | Step=14300/334762] loss=9.0071
04-Feb-26 19:13:00 - [Epoch=1 | Step=14400/334762] loss=11.7789
04-Feb-26 19:13:52 - [Epoch=1 | Step=14500/334762] loss=11.8952
04-Feb-26 19:14:44 - [Epoch=1 | Step=14600/334762] loss=11.8626
04-Feb-26 19:15:36 - [Epoch=1 | Step=14700/334762] loss=13.3115
04-Feb-26 19:16:28 - [Epoch=1 | Step=14800/334762] loss=15.7258
04-Feb-26 19:17:20 - [Epoch=1 | Step=14900/334762] loss=17.4739
04-Feb-26 19:18:11 - [Epoch=1 | Step=15000/334762] loss=21.6972
04-Feb-26 19:19:02 - [Epoch=1 | Step=15100/334762] loss=23.9133
04-Feb-26 19:19:54 - [Epoch=1 | Step=15200/334762] loss=23.1102
04-Feb-26 19:20:46 - [Epoch=1 | Step=15300/334762] loss=20.4268
04-Feb-26 19:21:38 - [Epoch=1 | Step=15400/334762] loss=23.1174
04-Feb-26 19:22:29 - [Epoch=1 | Step=15500/334762] loss=14.9720
04-Feb-26 19:23:21 - [Epoch=1 | Step=15600/334762] loss=18.3459
04-Feb-26 19:24:12 - [Epoch=1 | Step=15700/334762] loss=17.2829
04-Feb-26 19:25:04 - [Epoch=1 | Step=15800/334762] loss=12.8104
04-Feb-26 19:25:56 - [Epoch=1 | Step=15900/334762] loss=10.7736
04-Feb-26 19:26:47 - [Epoch=1 | Step=16000/334762] loss=11.6813
04-Feb-26 19:27:38 - [Epoch=1 | Step=16100/334762] loss=9.7570
04-Feb-26 19:28:29 - [Epoch=1 | Step=16200/334762] loss=10.3999
04-Feb-26 19:29:21 - [Epoch=1 | Step=16300/334762] loss=9.4565
04-Feb-26 19:30:12 - [Epoch=1 | Step=16400/334762] loss=11.7859
04-Feb-26 19:31:03 - [Epoch=1 | Step=16500/334762] loss=11.0411
04-Feb-26 19:31:54 - [Epoch=1 | Step=16600/334762] loss=11.8831
04-Feb-26 19:32:45 - [Epoch=1 | Step=16700/334762] loss=13.5080
04-Feb-26 19:33:36 - [Epoch=1 | Step=16800/334762] loss=10.2800
04-Feb-26 19:34:27 - [Epoch=1 | Step=16900/334762] loss=17.1015
04-Feb-26 19:35:18 - [Epoch=1 | Step=17000/334762] loss=14.4906
04-Feb-26 19:36:10 - [Epoch=1 | Step=17100/334762] loss=12.0293
04-Feb-26 19:37:00 - [Epoch=1 | Step=17200/334762] loss=13.7611
04-Feb-26 19:37:51 - [Epoch=1 | Step=17300/334762] loss=11.2972
04-Feb-26 19:38:43 - [Epoch=1 | Step=17400/334762] loss=17.2858
04-Feb-26 19:39:34 - [Epoch=1 | Step=17500/334762] loss=14.6533
04-Feb-26 19:40:24 - [Epoch=1 | Step=17600/334762] loss=14.9802
04-Feb-26 19:41:16 - [Epoch=1 | Step=17700/334762] loss=13.2025
04-Feb-26 19:42:08 - [Epoch=1 | Step=17800/334762] loss=12.5372
04-Feb-26 19:42:59 - [Epoch=1 | Step=17900/334762] loss=13.4370
04-Feb-26 19:43:50 - [Epoch=1 | Step=18000/334762] loss=13.5307
04-Feb-26 19:44:43 - [Epoch=1 | Step=18100/334762] loss=14.1105
04-Feb-26 19:45:37 - [Epoch=1 | Step=18200/334762] loss=12.1079
04-Feb-26 19:46:32 - [Epoch=1 | Step=18300/334762] loss=19.7784
