05-Feb-26 14:00:23 - Created loss log file ./logs/loss_log_20260205140023_.npy.npz
05-Feb-26 14:00:33 - Estimated training samples: 26786650
05-Feb-26 14:00:33 - Total training steps per epoch (estimated): 83708
05-Feb-26 14:00:34 - Loading weights from: weights/model_weights20260204165247.pth
05-Feb-26 14:00:34 - Weights loaded successfully. Resuming training.
05-Feb-26 14:00:34 - Running without torch.compile (more stable for training).
05-Feb-26 14:00:34 - Training model...
05-Feb-26 14:00:40 - Features shape: torch.Size([320, 4])
05-Feb-26 14:00:40 - Elevation shape: torch.Size([320, 750])
05-Feb-26 14:00:40 - Targets shape: torch.Size([320])
05-Feb-26 14:00:40 - Mask shape: torch.Size([320, 750])
05-Feb-26 14:00:40 - Preds shape: torch.Size([320])
05-Feb-26 14:00:42 - [Epoch=1 | Step=10/83708 | Samples=3200] loss=4.5720
05-Feb-26 14:00:42 - ---------Epoch 01 | Training samples: 3200 | Average Loss: 12.6084
05-Feb-26 14:00:44 - [Epoch=1 | Step=20/83708 | Samples=6400] loss=22.4631
05-Feb-26 14:00:44 - ---------Epoch 01 | Training samples: 6400 | Average Loss: 12.3364
05-Feb-26 14:00:47 - [Epoch=1 | Step=30/83708 | Samples=9600] loss=4.0317
05-Feb-26 14:00:47 - ---------Epoch 01 | Training samples: 9600 | Average Loss: 11.4438
05-Feb-26 14:00:49 - [Epoch=1 | Step=40/83708 | Samples=12800] loss=20.6094
05-Feb-26 14:00:49 - ---------Epoch 01 | Training samples: 12800 | Average Loss: 11.1291
05-Feb-26 14:00:52 - [Epoch=1 | Step=50/83708 | Samples=16000] loss=4.5090
05-Feb-26 14:00:52 - ---------Epoch 01 | Training samples: 16000 | Average Loss: 10.6886
05-Feb-26 14:00:54 - [Epoch=1 | Step=60/83708 | Samples=19200] loss=23.8318
05-Feb-26 14:00:54 - ---------Epoch 01 | Training samples: 19200 | Average Loss: 10.7243
05-Feb-26 14:00:57 - [Epoch=1 | Step=70/83708 | Samples=22400] loss=4.3631
05-Feb-26 14:00:57 - ---------Epoch 01 | Training samples: 22400 | Average Loss: 10.4367
05-Feb-26 14:00:59 - [Epoch=1 | Step=80/83708 | Samples=25600] loss=20.5151
05-Feb-26 14:00:59 - ---------Epoch 01 | Training samples: 25600 | Average Loss: 10.3440
05-Feb-26 14:01:02 - [Epoch=1 | Step=90/83708 | Samples=28800] loss=4.3210
05-Feb-26 14:01:02 - ---------Epoch 01 | Training samples: 28800 | Average Loss: 10.0482
05-Feb-26 14:01:04 - [Epoch=1 | Step=100/83708 | Samples=32000] loss=16.8226
05-Feb-26 14:01:04 - ---------Epoch 01 | Training samples: 32000 | Average Loss: 9.9199
05-Feb-26 14:01:07 - [Epoch=1 | Step=110/83708 | Samples=35200] loss=4.5423
05-Feb-26 14:01:07 - ---------Epoch 01 | Training samples: 35200 | Average Loss: 9.6422
05-Feb-26 14:01:09 - [Epoch=1 | Step=120/83708 | Samples=38400] loss=13.6907
05-Feb-26 14:01:09 - ---------Epoch 01 | Training samples: 38400 | Average Loss: 9.4614
05-Feb-26 14:01:12 - [Epoch=1 | Step=130/83708 | Samples=41600] loss=4.8799
05-Feb-26 14:01:12 - ---------Epoch 01 | Training samples: 41600 | Average Loss: 9.2648
05-Feb-26 14:01:15 - [Epoch=1 | Step=140/83708 | Samples=44800] loss=12.5284
05-Feb-26 14:01:15 - ---------Epoch 01 | Training samples: 44800 | Average Loss: 9.1973
05-Feb-26 14:01:17 - [Epoch=1 | Step=150/83708 | Samples=48000] loss=4.7506
05-Feb-26 14:01:17 - ---------Epoch 01 | Training samples: 48000 | Average Loss: 9.1220
05-Feb-26 14:01:20 - [Epoch=1 | Step=160/83708 | Samples=51200] loss=16.8024
05-Feb-26 14:01:20 - ---------Epoch 01 | Training samples: 51200 | Average Loss: 9.1310
05-Feb-26 14:01:22 - [Epoch=1 | Step=170/83708 | Samples=54400] loss=5.0220
05-Feb-26 14:01:22 - ---------Epoch 01 | Training samples: 54400 | Average Loss: 9.0824
05-Feb-26 14:01:25 - [Epoch=1 | Step=180/83708 | Samples=57600] loss=16.4241
05-Feb-26 14:01:25 - ---------Epoch 01 | Training samples: 57600 | Average Loss: 9.0846
05-Feb-26 14:01:28 - [Epoch=1 | Step=190/83708 | Samples=60800] loss=5.3509
05-Feb-26 14:01:28 - ---------Epoch 01 | Training samples: 60800 | Average Loss: 9.0357
05-Feb-26 14:01:30 - [Epoch=1 | Step=200/83708 | Samples=64000] loss=14.9293
05-Feb-26 14:01:30 - ---------Epoch 01 | Training samples: 64000 | Average Loss: 9.0033
05-Feb-26 14:01:33 - [Epoch=1 | Step=210/83708 | Samples=67200] loss=4.8536
05-Feb-26 14:01:33 - ---------Epoch 01 | Training samples: 67200 | Average Loss: 8.9310
05-Feb-26 14:01:36 - [Epoch=1 | Step=220/83708 | Samples=70400] loss=15.3753
05-Feb-26 14:01:36 - ---------Epoch 01 | Training samples: 70400 | Average Loss: 8.9256
05-Feb-26 14:01:38 - [Epoch=1 | Step=230/83708 | Samples=73600] loss=5.3422
05-Feb-26 14:01:38 - ---------Epoch 01 | Training samples: 73600 | Average Loss: 8.8831
05-Feb-26 14:01:41 - [Epoch=1 | Step=240/83708 | Samples=76800] loss=16.4349
05-Feb-26 14:01:41 - ---------Epoch 01 | Training samples: 76800 | Average Loss: 8.8858
05-Feb-26 14:01:44 - [Epoch=1 | Step=250/83708 | Samples=80000] loss=6.0640
05-Feb-26 14:01:44 - ---------Epoch 01 | Training samples: 80000 | Average Loss: 8.8725
05-Feb-26 14:01:47 - [Epoch=1 | Step=260/83708 | Samples=83200] loss=15.9214
05-Feb-26 14:01:47 - ---------Epoch 01 | Training samples: 83200 | Average Loss: 8.8902
05-Feb-26 14:01:49 - [Epoch=1 | Step=270/83708 | Samples=86400] loss=5.1705
05-Feb-26 14:01:49 - ---------Epoch 01 | Training samples: 86400 | Average Loss: 8.8846
05-Feb-26 14:01:52 - [Epoch=1 | Step=280/83708 | Samples=89600] loss=16.6320
05-Feb-26 14:01:52 - ---------Epoch 01 | Training samples: 89600 | Average Loss: 8.9094
05-Feb-26 14:01:54 - [Epoch=1 | Step=290/83708 | Samples=92800] loss=5.6369
05-Feb-26 14:01:54 - ---------Epoch 01 | Training samples: 92800 | Average Loss: 8.8733
05-Feb-26 14:01:58 - [Epoch=1 | Step=300/83708 | Samples=96000] loss=18.3571
05-Feb-26 14:01:58 - ---------Epoch 01 | Training samples: 96000 | Average Loss: 8.8912
05-Feb-26 14:02:00 - [Epoch=1 | Step=310/83708 | Samples=99200] loss=5.2487
05-Feb-26 14:02:00 - ---------Epoch 01 | Training samples: 99200 | Average Loss: 8.8716
05-Feb-26 14:02:03 - [Epoch=1 | Step=320/83708 | Samples=102400] loss=17.1236
05-Feb-26 14:02:03 - ---------Epoch 01 | Training samples: 102400 | Average Loss: 8.8825
05-Feb-26 14:02:05 - [Epoch=1 | Step=330/83708 | Samples=105600] loss=5.3182
05-Feb-26 14:02:05 - ---------Epoch 01 | Training samples: 105600 | Average Loss: 8.8575
05-Feb-26 14:02:08 - [Epoch=1 | Step=340/83708 | Samples=108800] loss=16.6750
05-Feb-26 14:02:08 - ---------Epoch 01 | Training samples: 108800 | Average Loss: 8.8597
05-Feb-26 14:02:10 - [Epoch=1 | Step=350/83708 | Samples=112000] loss=5.7010
05-Feb-26 14:02:10 - ---------Epoch 01 | Training samples: 112000 | Average Loss: 8.8279
05-Feb-26 14:02:12 - [Epoch=1 | Step=360/83708 | Samples=115200] loss=13.7977
05-Feb-26 14:02:12 - ---------Epoch 01 | Training samples: 115200 | Average Loss: 8.8093
05-Feb-26 14:02:15 - [Epoch=1 | Step=370/83708 | Samples=118400] loss=5.0075
05-Feb-26 14:02:15 - ---------Epoch 01 | Training samples: 118400 | Average Loss: 8.7863
05-Feb-26 14:02:18 - [Epoch=1 | Step=380/83708 | Samples=121600] loss=12.7884
05-Feb-26 14:02:18 - ---------Epoch 01 | Training samples: 121600 | Average Loss: 8.7723
05-Feb-26 14:02:20 - [Epoch=1 | Step=390/83708 | Samples=124800] loss=5.1572
05-Feb-26 14:02:20 - ---------Epoch 01 | Training samples: 124800 | Average Loss: 8.7420
05-Feb-26 14:02:23 - [Epoch=1 | Step=400/83708 | Samples=128000] loss=12.5950
05-Feb-26 14:02:23 - ---------Epoch 01 | Training samples: 128000 | Average Loss: 8.7337
05-Feb-26 14:02:25 - [Epoch=1 | Step=410/83708 | Samples=131200] loss=4.9531
05-Feb-26 14:02:25 - ---------Epoch 01 | Training samples: 131200 | Average Loss: 8.7041
05-Feb-26 14:02:28 - [Epoch=1 | Step=420/83708 | Samples=134400] loss=10.2108
05-Feb-26 14:02:28 - ---------Epoch 01 | Training samples: 134400 | Average Loss: 8.6850
05-Feb-26 14:02:30 - [Epoch=1 | Step=430/83708 | Samples=137600] loss=4.3872
05-Feb-26 14:02:30 - ---------Epoch 01 | Training samples: 137600 | Average Loss: 8.6490
05-Feb-26 14:02:33 - [Epoch=1 | Step=440/83708 | Samples=140800] loss=13.0647
05-Feb-26 14:02:33 - ---------Epoch 01 | Training samples: 140800 | Average Loss: 8.6493
05-Feb-26 14:02:36 - [Epoch=1 | Step=450/83708 | Samples=144000] loss=5.5623
05-Feb-26 14:02:36 - ---------Epoch 01 | Training samples: 144000 | Average Loss: 8.6525
05-Feb-26 14:02:38 - [Epoch=1 | Step=460/83708 | Samples=147200] loss=14.0470
05-Feb-26 14:02:38 - ---------Epoch 01 | Training samples: 147200 | Average Loss: 8.6760
05-Feb-26 14:02:41 - [Epoch=1 | Step=470/83708 | Samples=150400] loss=4.6195
05-Feb-26 14:02:41 - ---------Epoch 01 | Training samples: 150400 | Average Loss: 8.6671
05-Feb-26 14:02:43 - [Epoch=1 | Step=480/83708 | Samples=153600] loss=11.9618
05-Feb-26 14:02:43 - ---------Epoch 01 | Training samples: 153600 | Average Loss: 8.6798
05-Feb-26 14:02:47 - [Epoch=1 | Step=490/83708 | Samples=156800] loss=4.7958
05-Feb-26 14:02:47 - ---------Epoch 01 | Training samples: 156800 | Average Loss: 8.6652
05-Feb-26 14:02:49 - [Epoch=1 | Step=500/83708 | Samples=160000] loss=8.8824
05-Feb-26 14:02:49 - ---------Epoch 01 | Training samples: 160000 | Average Loss: 8.6620
05-Feb-26 14:06:29 - ---------Validation | Average Validation: 33.2316
05-Feb-26 14:06:29 - ---------Validation | Overestimation (>3dB): 85
05-Feb-26 14:06:29 - ---------Validation | Underestimation (<-3dB): 1410
05-Feb-26 14:06:31 - [Epoch=1 | Step=510/83708 | Samples=163200] loss=11.4582
05-Feb-26 14:06:31 - ---------Epoch 01 | Training samples: 163200 | Average Loss: 8.9627
05-Feb-26 14:06:33 - [Epoch=1 | Step=520/83708 | Samples=166400] loss=16.6504
05-Feb-26 14:06:33 - ---------Epoch 01 | Training samples: 166400 | Average Loss: 9.0959
05-Feb-26 14:06:35 - [Epoch=1 | Step=530/83708 | Samples=169600] loss=3.7523
05-Feb-26 14:06:35 - ---------Epoch 01 | Training samples: 169600 | Average Loss: 9.1527
05-Feb-26 14:06:37 - [Epoch=1 | Step=540/83708 | Samples=172800] loss=13.5517
05-Feb-26 14:06:37 - ---------Epoch 01 | Training samples: 172800 | Average Loss: 9.2059
05-Feb-26 14:06:40 - [Epoch=1 | Step=550/83708 | Samples=176000] loss=3.6742
05-Feb-26 14:06:40 - ---------Epoch 01 | Training samples: 176000 | Average Loss: 9.2157
05-Feb-26 14:06:42 - [Epoch=1 | Step=560/83708 | Samples=179200] loss=11.6801
05-Feb-26 14:06:42 - ---------Epoch 01 | Training samples: 179200 | Average Loss: 9.2271
05-Feb-26 14:06:44 - [Epoch=1 | Step=570/83708 | Samples=182400] loss=3.2446
05-Feb-26 14:06:44 - ---------Epoch 01 | Training samples: 182400 | Average Loss: 9.2069
05-Feb-26 14:06:46 - [Epoch=1 | Step=580/83708 | Samples=185600] loss=9.6560
05-Feb-26 14:06:46 - ---------Epoch 01 | Training samples: 185600 | Average Loss: 9.1966
05-Feb-26 14:06:48 - [Epoch=1 | Step=590/83708 | Samples=188800] loss=3.0518
05-Feb-26 14:06:48 - ---------Epoch 01 | Training samples: 188800 | Average Loss: 9.1680
05-Feb-26 14:06:51 - [Epoch=1 | Step=600/83708 | Samples=192000] loss=11.1760
05-Feb-26 14:06:51 - ---------Epoch 01 | Training samples: 192000 | Average Loss: 9.1486
05-Feb-26 14:06:55 - [Epoch=1 | Step=610/83708 | Samples=195200] loss=1.8823
05-Feb-26 14:06:55 - ---------Epoch 01 | Training samples: 195200 | Average Loss: 9.1043
05-Feb-26 14:06:57 - [Epoch=1 | Step=620/83708 | Samples=198400] loss=11.8320
05-Feb-26 14:06:57 - ---------Epoch 01 | Training samples: 198400 | Average Loss: 9.0702
05-Feb-26 14:06:59 - [Epoch=1 | Step=630/83708 | Samples=201600] loss=2.9140
