21-Jan-26 10:16:54 - Created path loss file ./logs/loss_log_20260121101654_.npy.npz
21-Jan-26 10:16:56 - Training model...
21-Jan-26 10:17:08 - Total Steps = 84218
21-Jan-26 10:17:08 - Input Features Shape: torch.Size([30, 4])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - Path Loss Shape: torch.Size([30])
21-Jan-26 10:17:08 - extra_features_tokens.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - pos_embedded_tokens.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - score.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - hidden1.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - pooled_score.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - hidden2.shape torch.Size([30, 2000])
21-Jan-26 10:17:08 - logits.shape torch.Size([30, 1])
21-Jan-26 10:17:28 - [Epoch=1 | Step=100/84218] loss=0.9515
21-Jan-26 10:17:49 - [Epoch=1 | Step=200/84218] loss=0.0369
21-Jan-26 10:18:09 - [Epoch=1 | Step=300/84218] loss=0.0505
21-Jan-26 10:18:29 - [Epoch=1 | Step=400/84218] loss=0.0579
21-Jan-26 10:18:49 - [Epoch=1 | Step=500/84218] loss=0.0090
21-Jan-26 10:19:09 - [Epoch=1 | Step=600/84218] loss=2.2190
21-Jan-26 10:19:29 - [Epoch=1 | Step=700/84218] loss=0.0716
21-Jan-26 10:19:50 - [Epoch=1 | Step=800/84218] loss=0.0021
21-Jan-26 10:20:11 - [Epoch=1 | Step=900/84218] loss=0.0734
21-Jan-26 10:20:32 - [Epoch=1 | Step=1000/84218] loss=0.0041
21-Jan-26 10:20:53 - [Epoch=1 | Step=1100/84218] loss=0.1410
21-Jan-26 10:21:15 - [Epoch=1 | Step=1200/84218] loss=0.0007
21-Jan-26 10:21:37 - [Epoch=1 | Step=1300/84218] loss=0.0806
21-Jan-26 10:21:58 - [Epoch=1 | Step=1400/84218] loss=0.0500
21-Jan-26 10:22:20 - [Epoch=1 | Step=1500/84218] loss=1.5140
21-Jan-26 10:22:42 - [Epoch=1 | Step=1600/84218] loss=0.0051
21-Jan-26 10:23:05 - [Epoch=1 | Step=1700/84218] loss=0.9923
