20-Jan-26 18:17:21 - Created path loss file ./logs/loss_log_20260120181721_.npy.npz
20-Jan-26 18:17:22 - Training model...
20-Jan-26 18:17:31 - Total Steps = 84218
20-Jan-26 18:17:32 - Input Features Shape: torch.Size([30, 4])
20-Jan-26 18:17:32 - Elevation Data Shape: torch.Size([30, 768])
20-Jan-26 18:17:32 - Path Loss Shape: torch.Size([30])
20-Jan-26 18:17:32 - extra_features_tokens.shape torch.Size([30, 512])
20-Jan-26 18:17:32 - Elevation Data Shape: torch.Size([30, 768])
20-Jan-26 18:17:32 - pos_embedded_tokens.shape torch.Size([30, 768, 512])
20-Jan-26 18:17:32 - score.shape torch.Size([30, 768, 512])
20-Jan-26 18:17:32 - hidden1.shape torch.Size([30, 768, 512])
20-Jan-26 18:17:32 - pooled_score.shape torch.Size([30, 512])
20-Jan-26 18:17:32 - hidden2.shape torch.Size([30, 2000])
20-Jan-26 18:17:32 - logits.shape torch.Size([30, 1])
20-Jan-26 18:17:51 - [Epoch=1 | Step=100/84218] loss=0.4897
20-Jan-26 18:18:10 - [Epoch=1 | Step=200/84218] loss=0.0382
20-Jan-26 18:18:30 - [Epoch=1 | Step=300/84218] loss=0.0208
20-Jan-26 18:18:50 - [Epoch=1 | Step=400/84218] loss=0.0650
20-Jan-26 18:19:10 - [Epoch=1 | Step=500/84218] loss=0.0225
20-Jan-26 18:19:30 - [Epoch=1 | Step=600/84218] loss=1.4787
20-Jan-26 18:19:50 - [Epoch=1 | Step=700/84218] loss=0.0769
20-Jan-26 18:20:10 - [Epoch=1 | Step=800/84218] loss=0.0022
20-Jan-26 18:20:30 - [Epoch=1 | Step=900/84218] loss=0.1503
20-Jan-26 18:20:51 - [Epoch=1 | Step=1000/84218] loss=0.0045
20-Jan-26 18:21:11 - [Epoch=1 | Step=1100/84218] loss=0.3397
20-Jan-26 18:21:32 - [Epoch=1 | Step=1200/84218] loss=0.0009
20-Jan-26 18:21:52 - [Epoch=1 | Step=1300/84218] loss=0.0448
20-Jan-26 18:22:14 - [Epoch=1 | Step=1400/84218] loss=0.0617
