22-Jan-26 14:04:04 - Created path loss file ./logs/loss_log_20260122140404_.npy.npz
22-Jan-26 14:04:05 - Running without torch.compile (more stable for training).
22-Jan-26 14:04:05 - Training model...
22-Jan-26 14:04:14 - Total Steps = 39478
22-Jan-26 14:04:15 - Input Features Shape: torch.Size([64, 4])
22-Jan-26 14:04:15 - Elevation Data Shape: torch.Size([64, 768])
22-Jan-26 14:04:15 - Path Loss Shape: torch.Size([64])
22-Jan-26 14:04:15 - logits.shape torch.Size([64, 1])
22-Jan-26 14:04:46 - [Epoch=1 | Step=100/39478] loss=0.0268
22-Jan-26 14:05:17 - [Epoch=1 | Step=200/39478] loss=0.0317
22-Jan-26 14:05:48 - [Epoch=1 | Step=300/39478] loss=0.0825
22-Jan-26 14:06:19 - [Epoch=1 | Step=400/39478] loss=0.0035
22-Jan-26 14:06:50 - [Epoch=1 | Step=500/39478] loss=0.0018
22-Jan-26 14:07:22 - [Epoch=1 | Step=600/39478] loss=0.0284
22-Jan-26 14:07:55 - [Epoch=1 | Step=700/39478] loss=0.2544
22-Jan-26 14:08:27 - [Epoch=1 | Step=800/39478] loss=0.6169
22-Jan-26 14:08:59 - [Epoch=1 | Step=900/39478] loss=0.0168
22-Jan-26 14:09:32 - [Epoch=1 | Step=1000/39478] loss=0.0322
22-Jan-26 14:10:05 - [Epoch=1 | Step=1100/39478] loss=0.0446
22-Jan-26 14:10:38 - [Epoch=1 | Step=1200/39478] loss=0.0483
22-Jan-26 14:11:12 - [Epoch=1 | Step=1300/39478] loss=0.4340
22-Jan-26 14:11:46 - [Epoch=1 | Step=1400/39478] loss=0.0431
22-Jan-26 14:12:20 - [Epoch=1 | Step=1500/39478] loss=0.0303
22-Jan-26 14:12:55 - [Epoch=1 | Step=1600/39478] loss=0.3552
22-Jan-26 14:13:30 - [Epoch=1 | Step=1700/39478] loss=0.0170
22-Jan-26 14:14:04 - [Epoch=1 | Step=1800/39478] loss=0.0064
22-Jan-26 14:14:39 - [Epoch=1 | Step=1900/39478] loss=0.0052
22-Jan-26 14:15:15 - [Epoch=1 | Step=2000/39478] loss=0.0098
22-Jan-26 14:15:50 - [Epoch=1 | Step=2100/39478] loss=0.2537
22-Jan-26 14:16:26 - [Epoch=1 | Step=2200/39478] loss=0.1205
22-Jan-26 14:17:01 - [Epoch=1 | Step=2300/39478] loss=0.0465
22-Jan-26 14:17:37 - [Epoch=1 | Step=2400/39478] loss=0.1438
22-Jan-26 14:18:12 - [Epoch=1 | Step=2500/39478] loss=0.0341
22-Jan-26 14:18:47 - [Epoch=1 | Step=2600/39478] loss=0.0243
22-Jan-26 14:19:22 - [Epoch=1 | Step=2700/39478] loss=0.0555
22-Jan-26 14:19:56 - [Epoch=1 | Step=2800/39478] loss=0.0004
22-Jan-26 14:20:31 - [Epoch=1 | Step=2900/39478] loss=0.1028
22-Jan-26 14:21:05 - [Epoch=1 | Step=3000/39478] loss=0.1225
22-Jan-26 14:21:39 - [Epoch=1 | Step=3100/39478] loss=0.1088
22-Jan-26 14:22:13 - [Epoch=1 | Step=3200/39478] loss=0.0032
22-Jan-26 14:22:48 - [Epoch=1 | Step=3300/39478] loss=0.0655
22-Jan-26 14:23:22 - [Epoch=1 | Step=3400/39478] loss=0.4074
22-Jan-26 14:23:57 - [Epoch=1 | Step=3500/39478] loss=0.2094
22-Jan-26 14:24:30 - [Epoch=1 | Step=3600/39478] loss=0.4904
22-Jan-26 14:25:02 - [Epoch=1 | Step=3700/39478] loss=0.8712
22-Jan-26 14:25:35 - [Epoch=1 | Step=3800/39478] loss=0.2791
22-Jan-26 14:26:07 - [Epoch=1 | Step=3900/39478] loss=0.0491
22-Jan-26 14:26:39 - [Epoch=1 | Step=4000/39478] loss=0.0069
22-Jan-26 14:27:12 - [Epoch=1 | Step=4100/39478] loss=1.7315
22-Jan-26 14:27:44 - [Epoch=1 | Step=4200/39478] loss=0.2352
22-Jan-26 14:28:17 - [Epoch=1 | Step=4300/39478] loss=0.0715
22-Jan-26 14:28:49 - [Epoch=1 | Step=4400/39478] loss=0.0009
22-Jan-26 14:29:21 - [Epoch=1 | Step=4500/39478] loss=0.4642
22-Jan-26 14:29:54 - [Epoch=1 | Step=4600/39478] loss=0.0069
22-Jan-26 14:30:27 - [Epoch=1 | Step=4700/39478] loss=0.0015
22-Jan-26 14:30:59 - [Epoch=1 | Step=4800/39478] loss=0.0154
22-Jan-26 14:31:32 - [Epoch=1 | Step=4900/39478] loss=0.7000
22-Jan-26 14:32:04 - [Epoch=1 | Step=5000/39478] loss=0.5980
22-Jan-26 14:32:36 - [Epoch=1 | Step=5100/39478] loss=0.0479
22-Jan-26 14:33:09 - [Epoch=1 | Step=5200/39478] loss=0.1210
22-Jan-26 14:33:41 - [Epoch=1 | Step=5300/39478] loss=0.0255
22-Jan-26 14:34:13 - [Epoch=1 | Step=5400/39478] loss=0.0719
22-Jan-26 14:34:46 - [Epoch=1 | Step=5500/39478] loss=0.0302
22-Jan-26 14:35:18 - [Epoch=1 | Step=5600/39478] loss=0.0875
22-Jan-26 14:35:51 - [Epoch=1 | Step=5700/39478] loss=0.9150
22-Jan-26 14:36:24 - [Epoch=1 | Step=5800/39478] loss=1.8293
22-Jan-26 14:36:56 - [Epoch=1 | Step=5900/39478] loss=0.5837
22-Jan-26 14:37:29 - [Epoch=1 | Step=6000/39478] loss=0.0034
22-Jan-26 14:38:01 - [Epoch=1 | Step=6100/39478] loss=0.0326
22-Jan-26 14:38:34 - [Epoch=1 | Step=6200/39478] loss=0.0029
22-Jan-26 14:39:06 - [Epoch=1 | Step=6300/39478] loss=0.0019
22-Jan-26 14:39:39 - [Epoch=1 | Step=6400/39478] loss=0.0002
22-Jan-26 14:40:11 - [Epoch=1 | Step=6500/39478] loss=0.0027
22-Jan-26 14:40:43 - [Epoch=1 | Step=6600/39478] loss=0.0754
22-Jan-26 14:41:16 - [Epoch=1 | Step=6700/39478] loss=0.0187
22-Jan-26 14:41:48 - [Epoch=1 | Step=6800/39478] loss=2.6403
22-Jan-26 14:42:20 - [Epoch=1 | Step=6900/39478] loss=0.0342
22-Jan-26 14:42:53 - [Epoch=1 | Step=7000/39478] loss=0.0016
22-Jan-26 14:43:25 - [Epoch=1 | Step=7100/39478] loss=0.0193
22-Jan-26 14:43:57 - [Epoch=1 | Step=7200/39478] loss=0.0573
22-Jan-26 14:44:29 - [Epoch=1 | Step=7300/39478] loss=0.1895
22-Jan-26 14:45:02 - [Epoch=1 | Step=7400/39478] loss=0.0032
22-Jan-26 14:45:34 - [Epoch=1 | Step=7500/39478] loss=0.0006
